18.5139	-380.719	23.7975	0.395015	0.912791	-0.103803
18.5145	-378.341	41.2436	0.395	0.907284	-0.14426
18.5133	-374.953	59.7435	0.394993	0.899569	-0.186431
18.5101	-370.413	79.2284	0.395006	0.889375	-0.230179
18.5055	-365.274	97.3606	0.395047	0.877959	-0.270417
18.4995	-359.315	115.248	0.395124	0.864809	-0.30981
18.4923	-352.556	132.849	0.395241	0.849935	-0.348417
18.4839	-345.013	150.118	0.395402	0.833235	-0.386493
18.4747	-336.696	167.015	0.395602	0.814578	-0.424219
18.4643	-327.024	184.512	0.395849	0.79253	-0.463897
18.4542	-317.143	200.506	0.396103	0.7696	-0.500818
18.444	-306.517	215.999	0.396367	0.744472	-0.537266
18.4341	-295.157	230.947	0.396626	0.717065	-0.573153
18.4247	-283.071	245.309	0.396863	0.687312	-0.60836
18.416	-270.275	259.046	0.397061	0.655859	-0.642022
18.4074	-255.944	272.929	0.397235	0.621114	-0.67559
18.3998	-241.805	285.297	0.397378	0.587218	-0.705171
18.3925	-227.076	296.963	0.397512	0.552194	-0.732847
18.3854	-211.796	307.902	0.397645	0.516055	-0.75866
18.3783	-196.005	318.091	0.397782	0.478797	-0.782638
18.3711	-179.744	327.504	0.397927	0.440409	-0.804795
18.3634	-161.995	336.628	0.398089	0.398413	-0.826312
18.3563	-144.888	344.367	0.39825	0.357751	-0.844637
18.3493	-127.43	351.259	0.398414	0.315971	-0.861062
18.3429	-109.662	357.284	0.398577	0.273057	-0.875543
18.3371	-91.6222	362.418	0.398731	0.228997	-0.888017
18.3318	-72.2013	366.872	0.398874	0.180927	-0.89898
18.328	-53.7256	370.099	0.398976	0.134668	-0.907019
18.3252	-35.1044	372.379	0.399042	0.088307	-0.912671
18.3236	-16.3876	373.711	0.399077	0.0419751	-0.915956
18.3232	2.37469	374.096	0.399087	-0.00434094	-0.916903
18.3239	22.3033	373.467	0.399071	-0.053554	-0.915355
18.3258	41.0009	371.898	0.399028	-0.0998924	-0.911481
18.3288	59.5904	369.381	0.398954	-0.146262	-0.905231
18.333	78.0224	365.918	0.398843	-0.192352	-0.896619
18.3385	97.3858	361.219	0.398694	-0.240118	-0.885091
18.3444	115.361	355.861	0.398537	-0.283891	-0.872109
18.351	133.056	349.617	0.398373	-0.326521	-0.857137
18.358	150.429	342.511	0.398209	-0.36802	-0.840233
18.3653	167.443	334.564	0.39805	-0.408405	-0.821439
18.3725	184.058	325.799	0.397898	-0.447692	-0.80078
18.3801	201.229	315.616	0.397746	-0.488217	-0.776815
18.3871	216.896	305.237	0.39761	-0.525195	-0.752381
18.3943	232.042	294.114	0.397477	-0.561055	-0.726106
18.4017	246.628	282.27	0.39734	-0.595799	-0.697957
18.4094	260.613	269.73	0.397192	-0.62941	-0.667894
18.4181	274.77	255.672	0.39701	-0.66384	-0.633798
18.427	287.391	241.775	0.396801	-0.69497	-0.599637
18.4366	299.296	227.263	0.396556	-0.724137	-0.564241
18.4465	310.474	212.175	0.396294	-0.750967	-0.528204
18.4567	320.914	196.553	0.396031	-0.775538	-0.49163
18.4674	331.188	179.417	0.395766	-0.799261	-0.452273
18.4771	340.078	162.828	0.395541	-0.819433	-0.414821
18.4861	348.202	145.834	0.395351	-0.837594	-0.377006
18.4942	355.551	128.478	0.395202	-0.853818	-0.338836
18.5012	362.112	110.801	0.395096	-0.868261	-0.300038
18.5068	367.867	92.8484	0.39503	-0.880978	-0.260439
18.511	372.798	74.6618	0.394997	-0.891956	-0.21998
18.5136	376.885	56.2848	0.394991	-0.901157	-0.178599
18.5145	380.282	36.5992	0.395003	-0.908919	-0.133561
18.5134	382.452	19.1329	0.395018	-0.913968	-0.0928599
80.4886	406.126	10.3379	0.300072	-0.951295	-0.0706705
80.4921	404.025	31.3244	0.300045	-0.946447	-0.119211
80.4926	401.285	49.7616	0.300009	-0.940248	-0.161021
80.4907	397.467	69.3009	0.299968	-0.931749	-0.204606
80.4868	393.065	87.4602	0.299936	-0.922077	-0.244566
80.481	387.884	105.427	0.299918	-0.910803	-0.283704
80.4734	381.941	123.164	0.299917	-0.897952	-0.322073
80.4637	374.78	141.788	0.299941	-0.882519	-0.36221
80.4531	367.312	158.932	0.299989	-0.866336	-0.399334
80.4416	359.124	175.731	0.300061	-0.848377	-0.436143
80.4293	350.223	192.149	0.300151	-0.828577	-0.472621
80.4157	339.954	209.2	0.300259	-0.805349	-0.511133
80.4029	329.607	224.714	0.300366	-0.781522	-0.546812
80.3903	318.574	239.735	0.300468	-0.755635	-0.582009
80.3775	306.057	255.171	0.30056	-0.725674	-0.618919
80.3663	293.631	269.055	0.30062	-0.695598	-0.652511
80.356	280.562	282.344	0.300651	-0.664348	-0.684289
80.3464	266.886	295.016	0.300664	-0.632014	-0.714255
80.3367	251.667	307.828	0.300668	-0.596372	-0.744271
80.3279	236.845	319.157	0.30067	-0.561899	-0.770628
80.3192	221.521	329.803	0.300676	-0.526408	-0.795291
80.31	204.664	340.382	0.300692	-0.487423	-0.819758
80.3012	188.415	349.549	0.300717	-0.44981	-0.840976
80.2921	171.772	357.968	0.300754	-0.411195	-0.860503
80.2832	154.769	365.619	0.300802	-0.371574	-0.878323
80.2739	136.274	372.913	0.300863	-0.328185	-0.895419
80.2657	118.634	378.918	0.300927	-0.286437	-0.909614
80.2583	100.74	384.095	0.300992	-0.243642	-0.921977
80.2514	81.41	388.684	0.301056	-0.196838	-0.93307
80.2462	63.0969	392.09	0.301103	-0.151926	-0.941411
80.2423	44.637	394.616	0.301133	-0.106771	-0.947586
